ID,DATE,ELEMENT,VALUE,MFLAG,QFLAG,SFLAG,OBSTIME,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN_FLAG,HCN_CRN_FLAG,WMO_ID,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12
"AJ000037985","20190105","TMAX","154","","","S","","AJ000037985","387.500","488.170","-12.0","LANKARAN","37985","","","","","","",""
"AJ000037985","20190108","TMAX","104","","","S","","AJ000037985","387.500","488.170","-12.0","LANKARAN","37985","","","","","","",""
"AJ000037985","20190109","TMAX","103","","","S","","AJ000037985","387.500","488.170","-12.0","LANKARAN","37985","","","","","","",""
"ALM00013615","20190111","TMAX","96","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190101","TMAX","136","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190102","TMAX","93","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190104","TMAX","59","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190105","TMAX","71","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190106","TMAX","73","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190107","TMAX","58","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"ALM00013615","20190110","TMAX","108","","","S","","ALM00013615","414.150","197.210","38.4","TIRANA","RINAS","GSN","13615","","","","",""
"AM000037682","20190111","TMAX","-60","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190101","TMAX","-41","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190103","TMAX","-35","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190104","TMAX","-32","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190105","TMAX","-18","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190106","TMAX","-20","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190107","TMAX","-16","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190108","TMAX","-22","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190109","TMAX","-27","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037682","20190110","TMAX","-77","","","S","","AM000037682","407.830","438.330","1866.0","AMASIA","37682","","","","","","",""
"AM000037699","20190111","TMAX","-39","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190101","TMAX","-35","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190102","TMAX","59","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190103","TMAX","-15","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190104","TMAX","-8","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190105","TMAX","3","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190106","TMAX","1","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190107","TMAX","-10","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190108","TMAX","-22","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190109","TMAX","-31","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037699","20190110","TMAX","-52","","","S","","AM000037699","405.330","443.830","1892.0","APARAN","37699","","","","","","",""
"AM000037704","20190111","TMAX","34","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190101","TMAX","25","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190102","TMAX","37","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190103","TMAX","42","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190104","TMAX","44","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190105","TMAX","95","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190106","TMAX","86","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190107","TMAX","60","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190108","TMAX","50","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190109","TMAX","45","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037704","20190110","TMAX","20","","","S","","AM000037704","408.170","445.000","1379.0","VANADZOR","37704","","","","","","",""
"AM000037711","20190111","TMAX","110","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190101","TMAX","70","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190102","TMAX","70","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190103","TMAX","76","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190104","TMAX","140","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190105","TMAX","150","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190106","TMAX","80","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190107","TMAX","40","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190108","TMAX","48","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190109","TMAX","40","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037711","20190110","TMAX","90","","","S","","AM000037711","408.670","451.500","733.0","IDJEVAN","37711","","","","","","",""
"AM000037787","20190111","TMAX","60","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190101","TMAX","40","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190102","TMAX","50","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190103","TMAX","50","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190104","TMAX","45","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190105","TMAX","80","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190106","TMAX","60","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190107","TMAX","100","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190108","TMAX","85","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190109","TMAX","75","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037787","20190110","TMAX","70","","","S","","AM000037787","401.330","440.500","865.0","ARMAVIR","37787","","","","","","",""
"AM000037792","20190111","TMAX","-15","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190101","TMAX","-10","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190102","TMAX","-10","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190103","TMAX","-15","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190104","TMAX","-5","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190105","TMAX","20","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190106","TMAX","45","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190107","TMAX","-5","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190108","TMAX","10","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037792","20190110","TMAX","-5","","","S","","AM000037792","404.830","447.500","1761.0","HRAZDAN","37792","","","","","","",""
"AM000037801","20190111","TMAX","-5","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190101","TMAX","-2","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190102","TMAX","15","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190103","TMAX","10","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190104","TMAX","35","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190105","TMAX","40","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190106","TMAX","35","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190107","TMAX","5","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190108","TMAX","5","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190109","TMAX","-5","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037801","20190110","TMAX","-10","","","S","","AM000037801","403.500","451.331","1961.0","GAVAR","37801","","","","","","",""
"AM000037897","20190111","TMAX","31","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190101","TMAX","16","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190102","TMAX","25","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190103","TMAX","-8","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190104","TMAX","38","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190105","TMAX","46","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190106","TMAX","54","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190107","TMAX","36","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190108","TMAX","40","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037897","20190109","TMAX","30","","","S","","AM000037897","395.330","460.170","1581.0","SISIAN","37897","","","","","","",""
"AM000037959","20190111","TMAX","120","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190101","TMAX","104","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190102","TMAX","116","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190103","TMAX","55","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190104","TMAX","159","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190105","TMAX","166","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190106","TMAX","145","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190107","TMAX","155","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190108","TMAX","101","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190109","TMAX","92","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AM000037959","20190110","TMAX","116","","","S","","AM000037959","392.000","464.330","706.0","KAPAN","37959","","","","","","",""
"AMM00037717","20190111","TMAX","-28","","","S","","AMM00037717","405.670","450.000","1917.0","SEVAN","OZERO","37717","","","","","",""
